id,tags
0,calculation auditory
1,calculation auditory
2,human_sound auditory
3,human_sound auditory
4,language auditory
5,calculation auditory
6,calculation objects visual
7,visual
8,calculation objects visual
9,left_foot visual
10,language auditory
11,left_hand visual
12,calculation auditory
13,vertical_checkerboard visual
14,human_sound auditory
15,visual
16,calculation visual
17,places visual
18,calculation auditory
19,horizontal_checkerboard vertical_checkerboard visual
20,language human_sound auditory
21,language human_sound auditory
22,objects visual
23,horizontal_checkerboard vertical_checkerboard visual
24,left_hand auditory
25,right_hand visual
26,right_hand visual
27,left_hand visual
28,left_hand visual
29,vertical_checkerboard visual
30,calculation objects visual
31,visual
32,visual
33,calculation auditory
34,visual
35,right_hand visual
36,language auditory
37,calculation auditory
38,vertical_checkerboard visual
39,objects right_hand visual
40,calculation visual_words visual
41,visual
42,calculation visual
43,auditory
44,visual
45,visual
46,faces visual
47,calculation visual_words visual
48,visual saccades
49,right_hand auditory
50,left_hand visual saccades
51,language human_sound auditory
52,left_hand visual_words visual
53,calculation auditory
54,language visual_words visual
55,horizontal_checkerboard visual
56,auditory
57,visual_words visual
58,objects visual
59,objects right_hand visual
60,right_hand auditory
61,objects visual
62,visual
63,non_human_sound auditory
64,visual_words visual
65,vertical_checkerboard visual
66,right_hand auditory
67,visual_digits visual
68,horizontal_checkerboard visual
69,right_hand visual_words visual
70,visual
71,visual
72,language visual_words visual
73,horizontal_checkerboard visual
74,calculation right_hand auditory
75,calculation visual
76,visual_digits visual
77,objects visual auditory
78,visual_words visual
79,left_hand auditory
80,language right_hand visual_words visual
81,scramble visual
82,right_hand visual
83,calculation visual_words visual
84,right_hand visual
85,horizontal_checkerboard vertical_checkerboard visual
86,visual_words visual
87,visual_words visual
88,calculation auditory
89,horizontal_checkerboard visual
90,horizontal_checkerboard vertical_checkerboard visual
91,auditory
92,scramble visual
93,visual_words visual
94,objects visual
95,horizontal_checkerboard visual
96,visual auditory
97,visual saccades
98,calculation right_hand auditory
99,calculation auditory
100,visual_words visual
101,visual
102,language visual_words visual
103,visual
104,vertical_checkerboard visual
105,calculation right_hand visual
106,right_hand visual
107,visual
108,visual
109,language human_sound auditory
110,objects visual
111,visual
112,calculation auditory
113,visual
114,calculation visual_words visual
115,objects right_hand visual
116,scramble visual
117,objects visual
118,language visual_words visual
119,non_human_sound auditory
120,vertical_checkerboard visual
121,visual_words visual
122,visual
123,calculation visual
124,visual
125,calculation auditory
126,vertical_checkerboard visual
127,auditory
128,visual_words visual
129,objects right_hand visual
130,language auditory
131,left_hand visual
132,left_hand auditory
133,calculation visual_words visual
134,visual_words visual
135,visual
136,language visual_words visual
137,left_hand calculation visual_words visual
138,auditory
139,horizontal_checkerboard visual
140,right_hand visual
141,non_human_sound auditory
142,visual
143,visual
144,right_hand visual
145,language human_sound auditory
146,faces vertical_checkerboard visual
147,left_hand visual_words visual
148,objects visual
149,visual
150,non_human_sound auditory
151,vertical_checkerboard visual
152,human_sound auditory
153,right_hand
154,visual auditory
155,visual non_human_sound auditory
156,calculation right_hand auditory
157,visual_words visual
158,calculation
159,language human_sound auditory
160,language visual_words visual
161,right_hand auditory
162,scramble visual
163,right_hand auditory
164,horizontal_checkerboard visual
165,visual
166,left_foot visual saccades
167,vertical_checkerboard visual
168,visual saccades
169,human_sound auditory
170,left_hand auditory
171,visual
172,visual_words visual
173,objects visual
174,calculation visual
175,visual_words visual
176,objects visual
177,human_sound right_hand auditory
178,left_hand visual_words visual
179,visual
180,objects visual
181,calculation visual
182,calculation auditory
183,objects visual
184,language auditory
185,horizontal_checkerboard vertical_checkerboard visual
186,calculation visual
187,language auditory
188,right_hand visual
189,horizontal_checkerboard visual
190,non_human_sound auditory
191,objects visual
192,visual_words visual
193,visual_digits calculation visual
194,visual
195,right_hand visual
196,calculation right_hand visual_words visual
197,scramble visual
198,left_hand auditory
199,language visual_words visual
200,visual
201,calculation visual
202,calculation visual_words visual
203,left_hand calculation auditory
204,visual
205,language auditory
206,language human_sound right_hand auditory
207,calculation language visual_words visual
208,visual
209,visual
210,visual_digits visual
211,right_hand visual_words visual
212,horizontal_checkerboard places visual
213,visual_digits calculation visual
214,visual
215,objects visual non_human_sound auditory
216,horizontal_checkerboard vertical_checkerboard visual
217,calculation auditory
218,left_hand auditory
219,visual
220,right_hand visual
221,language visual_words visual
222,human_sound auditory
223,visual saccades
224,places visual
225,visual_digits visual
226,visual
227,visual saccades
228,visual
229,right_hand visual
230,calculation human_sound auditory
231,scramble visual
232,scramble visual
233,non_human_sound auditory
234,visual saccades
235,visual
236,right_hand auditory
237,visual_words visual
238,visual
239,objects right_hand visual
240,visual
241,left_hand auditory
242,visual
243,vertical_checkerboard visual
244,visual
245,visual
246,right_hand visual
247,visual_digits visual
248,non_human_sound auditory
249,language visual_words visual
250,visual auditory saccades
251,right_hand visual
252,horizontal_checkerboard vertical_checkerboard visual
253,visual
254,non_human_sound auditory
255,right_hand visual_words visual
256,objects visual
257,left_hand auditory
258,visual
259,language human_sound right_hand auditory
260,calculation visual
261,visual
262,left_foot visual saccades
263,non_human_sound auditory
264,language visual
265,left_hand visual_words visual
266,visual_words visual
267,objects visual
268,calculation auditory
269,objects visual
270,objects right_hand visual
271,calculation visual_words visual
272,language auditory
273,right_hand visual
274,non_human_sound auditory
275,objects visual
276,left_hand visual_words visual
277,right_hand visual_words visual
278,vertical_checkerboard visual
279,calculation visual
280,language auditory
281,scramble visual
282,horizontal_checkerboard visual
283,right_foot
284,places right_hand visual
285,auditory
286,visual
287,language visual_words visual
288,visual_words visual
289,left_hand visual_words visual
290,visual
291,visual_digits calculation visual
292,calculation auditory
293,calculation objects visual auditory
294,calculation auditory
295,visual
296,visual_words visual
297,left_hand objects visual
298,vertical_checkerboard visual
299,visual
300,visual
301,left_hand visual_words visual
302,objects visual non_human_sound auditory
303,visual saccades
304,left_hand visual_words visual
305,vertical_checkerboard visual
306,calculation auditory
307,visual
308,calculation auditory
309,objects right_hand visual
310,language right_hand visual_words visual
311,language right_hand visual_words visual
312,horizontal_checkerboard vertical_checkerboard visual
313,language right_hand auditory
314,non_human_sound auditory
315,visual
316,calculation visual
317,visual
318,right_hand visual auditory
319,visual_words visual
320,visual
321,visual auditory
322,left_hand auditory
323,horizontal_checkerboard visual
324,right_hand visual
325,horizontal_checkerboard vertical_checkerboard visual
326,visual auditory
327,visual
328,calculation visual
329,visual
330,horizontal_checkerboard visual
331,language auditory
332,left_hand auditory
333,visual
334,visual
335,auditory
336,objects visual
337,visual_digits objects visual
338,visual
339,visual
340,language visual_words visual
341,scramble visual
342,calculation auditory
343,visual
344,left_hand visual_words visual
345,right_hand auditory
346,visual
347,horizontal_checkerboard vertical_checkerboard visual
348,objects visual
349,left_hand visual_words visual
350,visual_words visual
351,calculation auditory
352,objects visual
353,objects visual non_human_sound auditory
354,right_hand visual
355,vertical_checkerboard visual
356,language human_sound right_hand auditory
357,visual_digits visual
358,calculation visual_words visual
359,calculation visual_words visual
360,non_human_sound auditory
361,left_hand visual
362,calculation visual_words visual
363,right_hand visual
364,visual
365,non_human_sound auditory
366,visual_words visual
367,objects visual
368,places right_hand visual
369,calculation visual saccades
370,calculation visual_words visual
371,language auditory
372,visual
373,vertical_checkerboard scramble visual
374,visual
375,language visual_words visual
376,visual
377,non_human_sound auditory
378,scramble visual
379,language auditory
380,visual_words visual
381,right_hand visual
382,objects visual
383,language auditory
384,calculation visual_words visual
385,calculation right_hand auditory
386,calculation visual
387,language visual_words visual
388,calculation auditory
389,right_hand visual
390,language human_sound auditory
391,visual saccades
392,visual
393,objects visual
394,vertical_checkerboard visual
395,objects visual
396,visual
397,horizontal_checkerboard vertical_checkerboard visual
398,calculation auditory
399,left_hand auditory
400,faces visual
401,visual saccades
402,auditory
403,left_hand scramble visual
404,visual_words visual
405,language visual_words visual
406,calculation auditory
407,right_hand auditory
408,calculation objects visual auditory
409,language right_hand visual_words visual
410,visual
411,visual_words visual
412,calculation visual
413,visual
414,language visual_words visual
415,non_human_sound auditory
416,visual
417,calculation auditory
418,calculation visual_words visual
419,visual
420,places right_hand visual
421,calculation visual_words visual
422,right_hand auditory
423,left_hand visual_words visual
424,vertical_checkerboard visual
425,scramble visual
426,visual
427,scramble visual
428,horizontal_checkerboard vertical_checkerboard visual
429,non_human_sound auditory
430,language visual_words visual
431,objects visual
432,language visual_words visual
433,human_sound auditory
434,visual
435,visual
436,visual
437,calculation visual_words visual
438,visual
439,objects visual
440,visual
441,left_hand visual
442,horizontal_checkerboard visual
443,visual
444,auditory
445,visual_digits visual
446,language visual_words visual
447,calculation auditory
448,visual
449,visual
450,scramble visual
451,non_human_sound auditory
452,visual_words visual
453,objects right_hand visual
454,language human_sound auditory
455,right_hand visual
456,right_hand visual
457,right_hand visual
458,visual_words visual non_human_sound auditory
459,left_hand visual
460,vertical_checkerboard visual
461,places visual
462,visual
463,language auditory
464,language visual_words visual
465,right_hand visual
466,language auditory
467,calculation visual
468,language right_hand visual_words visual
469,calculation visual
470,visual non_human_sound auditory
471,calculation visual_words visual
472,auditory
473,visual
474,visual
475,visual
476,language human_sound auditory
477,objects visual
478,non_human_sound auditory
479,left_hand auditory
480,calculation language auditory
481,visual
482,visual
483,visual_words visual
484,visual saccades
485,language auditory
486,visual
487,visual_words visual
488,calculation visual auditory
489,language visual_words visual
490,visual_words visual
491,objects right_hand visual
492,calculation auditory
493,non_human_sound auditory
494,visual saccades
495,left_hand visual
496,visual
497,calculation right_hand auditory
498,calculation visual
499,objects visual
500,right_hand visual
501,language human_sound auditory
502,objects visual
503,visual
504,visual
505,objects right_hand visual
506,calculation auditory
507,language visual_words visual
508,visual
509,visual_digits visual
510,horizontal_checkerboard vertical_checkerboard visual
511,visual_words visual
512,visual
513,vertical_checkerboard visual
514,visual non_human_sound auditory
515,visual_words visual
516,left_hand visual
517,auditory
518,visual_words visual
519,calculation auditory
520,non_human_sound auditory
521,visual_words visual
522,visual
523,language auditory
524,visual
525,vertical_checkerboard visual
526,non_human_sound auditory
527,visual auditory
528,visual
529,right_hand visual
